"measure","path","repos","pattern","raw_path"
"perc_carpool","Population Characteristics/data/distribution/ncr_cttr_acs_2016_2020_carpools.csv.xz","sdc.transportation","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation","https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_carpools.csv.xz"
"perc_no_vehicle","Population Characteristics/data/distribution/va_cttr_2010_2021_perc_no_car_households.csv.xz","sdc.transportation","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation","https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/va_cttr_2010_2021_perc_no_car_households.csv.xz"
"commute_time","Population Characteristics/data/distribution/ncr_cttr_acs_2016_2020_commutes.csv.xz","sdc.transportation","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation","https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_commutes.csv.xz"
"perc_no_vehicle","Population Characteristics/data/distribution/ncr_cttr_acs_2016_2020_vehicles.csv.xz","sdc.transportation","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation","https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_vehicles.csv.xz"
"perc_male","Cooperative extension/data/distribution/va_cttr_2010_2021_perc_male.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Cooperative%20extension/data/distribution/va_cttr_2010_2021_perc_male.csv.xz"
"perc_children_raised_by_GPs","Cooperative extension/data/distribution/va_cttr_2010_2021_perc_children_raised_by_GPs.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Cooperative%20extension/data/distribution/va_cttr_2010_2021_perc_children_raised_by_GPs.csv.xz"
"total_race","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"perc_wht_alone","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"pop_eth_tot","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"pop_afr_amer_alone","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"pop_native_alone","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"pop_wht_alone","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"perc_afr_amer_alone","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"perc_native_alone","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"perc_two_or_more","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"pop_two_or_more","Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz"
"total_race","Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz"
"perc_wht_alone","Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz"
"pop_eth_tot","Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz"
"pop_afr_amer_alone","Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz"
"pop_native_alone","Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz","sdc.demographics","/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics","https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va059_hsrpdsdzc_sdad_20132019_race_demographics.csv.xz"
