measure,path,repos,pattern,raw_path,update
perc_carpool,Population Characteristics/data/distribution/ncr_cttr_acs_2016_2020_carpools.csv.xz,sdc.transportation,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_carpools.csv.xz,2022-09-21 19:42:51
perc_no_vehicle,Population Characteristics/data/distribution/va_cttr_2010_2021_perc_no_car_households.csv.xz,sdc.transportation,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/va_cttr_2010_2021_perc_no_car_households.csv.xz,2023-04-28 14:42:56
commute_time,Population Characteristics/data/distribution/ncr_cttr_acs_2016_2020_commutes.csv.xz,sdc.transportation,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_commutes.csv.xz,2022-09-21 19:42:51
perc_no_vehicle,Population Characteristics/data/distribution/ncr_cttr_acs_2016_2020_vehicles.csv.xz,sdc.transportation,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.transportation,https://github.com/uva-bi-sdad/sdc.transportation/raw/main/Population%20Characteristics/data/distribution/ncr_cttr_acs_2016_2020_vehicles.csv.xz,2022-09-21 19:42:51
perc_male,Cooperative extension/data/distribution/va_cttr_2010_2021_perc_male.csv.xz,sdc.demographics,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Cooperative%20extension/data/distribution/va_cttr_2010_2021_perc_male.csv.xz,2023-03-14 22:39:36
perc_children_raised_by_GPs,Cooperative extension/data/distribution/va_cttr_2010_2021_perc_children_raised_by_GPs.csv.xz,sdc.demographics,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Cooperative%20extension/data/distribution/va_cttr_2010_2021_perc_children_raised_by_GPs.csv.xz,2023-04-18 06:01:21
total_race,Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,sdc.demographics,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,2023-07-13 20:32:20
perc_wht_alone,Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,sdc.demographics,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,2023-07-13 20:32:20
pop_eth_tot,Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,sdc.demographics,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,2023-07-13 20:32:20
pop_afr_amer_alone,Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,sdc.demographics,/home/runner/work/sdc.all_dev/sdc.all_dev/data/sdc.demographics,https://github.com/uva-bi-sdad/sdc.demographics/raw/main/Race/data/distribution/va013_civic_sdad_20132020_race_demographics.csv.xz,2023-07-13 20:32:20
